Change Component Designator: OldDesignator=  NewDesignator=J?
Added Component: Designator=*(ATMEGA168)
Added Pin To Net: NetName=GND Pin=*-3
Added Pin To Net: NetName=GPIO0 Pin=*-4
Added Pin To Net: NetName=GND Pin=*-5
Added Pin To Net: NetName=GND Pin=*-21
Added Member To Class: ClassName=Sheet2 Member=Component * ATMEGA168
Added Member To Class: ClassName=Sheet2 Member=Component C? 104
Added Member To Class: ClassName=Sheet2 Member=Component C? 105
Added Member To Class: ClassName=Sheet2 Member=Component C? 103
Added Member To Class: ClassName=Sheet2 Member=Component C? 105
Added Member To Class: ClassName=Sheet2 Member=Component C? 104
Added Member To Class: ClassName=Sheet2 Member=Component C? 104
Added Member To Class: ClassName=Sheet2 Member=Component C? 105
Added Member To Class: ClassName=Sheet2 Member=Component C? 104
Added Member To Class: ClassName=Sheet2 Member=Component C? 104
Added Member To Class: ClassName=Sheet2 Member=Component C? 105
Added Member To Class: ClassName=Sheet2 Member=Component C? 104
Added Member To Class: ClassName=Sheet2 Member=Component C? CBR06C270F5GAC
Added Member To Class: ClassName=Sheet2 Member=Component C? 104
Added Member To Class: ClassName=Sheet2 Member=Component C? 104
Added Member To Class: ClassName=Sheet2 Member=Component C? 103
Added Member To Class: ClassName=Sheet2 Member=Component C? 104
Added Member To Class: ClassName=Sheet2 Member=Component J? RP2040
Added Member To Class: ClassName=Sheet2 Member=Component P? Header 18X2
Added Member To Class: ClassName=Sheet2 Member=Component R? 27
Added Member To Class: ClassName=Sheet2 Member=Component R? 27
